裁罰企業名稱,污染種類,污染地點,污染物,違反法條,裁罰/公告日期,資訊來源
蘆竹鄉印刷電路板業者耀鼎國際公司,水污染,南崁溪,藍色廢水,水污染防治法第18條,102-03-21,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8755
龜山鄉元慶工業公司,水污染,南崁溪南美一號橋附近,褐色廢水,水污染防治法第14條第1項,102-03-17,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8746
平鎮市元大、五福、仁福三家養豬場,水污染,平鎮市民族路3段過嶺橋的過嶺支渠,養豬廢水,水污染防治法第7條第1項,102-03-16,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8745
大園豊欣紙業公司,水污染,老街溪,褐色污泥/高鹼性廢水,水污染防治法第18條第1項,102-03-04,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8713
大園工業區虹冠實業股份有限公司,水污染,,高溫廢水,水污染防治法第7條,102-02-28,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8707
龜山鄉大同路一家纖維印染工廠,水污染,龜山兔仔坑溪,深褐色高溫鹼性廢水,水污染防治法第18條,102-02-04,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&ids=177&flag=detail&article_id=8670
鍱德公司,水污染,觀音鄉廣興一路100號對面水溝,不明黃色廢水,水污染防治法第14條第1項,102-01-29,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8643
蘆竹鄉義芳化學工廠,水污染,南崁溪,強酸廢水,水污染防治法第7條第1項,102-01-16,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8595
蘆竹鄉興普科技公司,水污染,南崁溪蘆竹內溪路旁道路側溝,褐色濃稠廢水,,102-01-04,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8565
和星纖維觀音廠,水污染,富林溪,深藍色廢水,水污染防治法第18條,102-01-07,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8568
旭富製藥公司,水污染,南崁溪,淺褐色廢水(pH值9.4),水污染防治法第18條,102-01-09,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8582
大統精密染整公司,水污染,南崁溪,酸性廢水,水污染防治法第7條第1項,101-12-27,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8533
